0C,Output Port,RR,RF,FR,FF,,85C,,,,,,,Diff,,,,,
SW[0],HEX0[0],8.469,8.618,8.981,9.138,,SW[0],HEX0[0],8.919,9.101,9.334,9.522,,SW[0],HEX0[0],0.45,0.483,0.353,0.384
SW[0],HEX0[1],8.669,9.017,9.181,9.583,,SW[0],HEX0[1],9.183,9.545,9.606,10.002,,SW[0],HEX0[1],0.514,0.528,0.425,0.419
SW[0],HEX0[2],,8.896,9.197,,,SW[0],HEX0[2],,9.427,9.595,,,SW[0],HEX0[2],0,0.531,0.398,0
SW[0],HEX0[3],8.113,8.212,8.621,8.774,,SW[0],HEX0[3],8.574,8.686,8.996,9.142,,SW[0],HEX0[3],0.461,0.474,0.375,0.368
SW[0],HEX0[4],8.886,,,9.712,,SW[0],HEX0[4],9.369,,,10.131,,SW[0],HEX0[4],0.483,0,0,0.419
SW[0],HEX0[5],8.771,,,9.718,,SW[0],HEX0[5],9.275,,,10.136,,SW[0],HEX0[5],0.504,0,0,0.418
SW[0],HEX0[6],8.209,8.226,8.72,8.745,,SW[0],HEX0[6],8.648,8.69,9.064,9.112,,SW[0],HEX0[6],0.439,0.464,0.344,0.367
SW[1],HEX0[0],8.127,8.297,8.669,8.821,,SW[1],HEX0[0],8.592,8.789,9.053,9.236,,SW[1],HEX0[0],0.465,0.492,0.384,0.415
SW[1],HEX0[1],8.422,8.719,8.97,9.244,,SW[1],HEX0[1],8.925,9.24,9.387,9.683,,SW[1],HEX0[1],0.503,0.521,0.417,0.439
SW[1],HEX0[2],8.335,,,9.095,,SW[1],HEX0[2],8.845,,,9.557,,SW[1],HEX0[2],0.51,0,0,0.462
SW[1],HEX0[3],7.91,7.958,8.461,8.486,,SW[1],HEX0[3],8.369,8.434,8.835,8.882,,SW[1],HEX0[3],0.459,0.476,0.374,0.396
SW[1],HEX0[4],,8.871,9.086,,,SW[1],HEX0[4],,9.398,9.504,,,SW[1],HEX0[4],0,0.527,0.418,0
SW[1],HEX0[5],8.53,8.861,9.079,9.387,,SW[1],HEX0[5],9.024,9.382,9.487,9.827,,SW[1],HEX0[5],0.494,0.521,0.408,0.44
SW[1],HEX0[6],7.867,7.905,8.409,8.429,,SW[1],HEX0[6],8.322,8.379,8.784,8.827,,SW[1],HEX0[6],0.455,0.474,0.375,0.398
SW[2],HEX0[0],8.669,8.893,9.202,9.479,,SW[2],HEX0[0],9.172,9.418,9.605,9.884,,SW[2],HEX0[0],0.503,0.525,0.403,0.405
SW[2],HEX0[1],9.144,,,9.96,,SW[2],HEX0[1],9.666,,,10.398,,SW[2],HEX0[1],0.522,0,0,0.438
SW[2],HEX0[2],8.889,9.177,9.422,9.763,,SW[2],HEX0[2],9.437,9.75,9.87,10.216,,SW[2],HEX0[2],0.548,0.573,0.448,0.453
SW[2],HEX0[3],8.585,8.61,9.118,9.151,,SW[2],HEX0[3],9.054,9.103,9.482,9.536,,SW[2],HEX0[3],0.469,0.493,0.364,0.385
SW[2],HEX0[4],9.086,9.467,9.619,10.053,,SW[2],HEX0[4],9.622,10.026,10.055,10.492,,SW[2],HEX0[4],0.536,0.559,0.436,0.439
SW[2],HEX0[5],9.246,9.554,9.779,10.095,,SW[2],HEX0[5],9.757,10.099,10.186,10.533,,SW[2],HEX0[5],0.511,0.545,0.407,0.438
SW[2],HEX0[6],8.409,8.501,8.942,9.087,,SW[2],HEX0[6],8.902,9.008,9.334,9.473,,SW[2],HEX0[6],0.493,0.507,0.392,0.386
SW[3],HEX0[0],8.277,8.488,8.746,8.905,,SW[3],HEX0[0],8.783,9.015,9.151,9.333,,SW[3],HEX0[0],0.506,0.527,0.405,0.428
SW[3],HEX0[1],8.572,8.917,9.186,9.448,,SW[3],HEX0[1],9.121,9.478,9.629,9.91,,SW[3],HEX0[1],0.549,0.561,0.443,0.462
SW[3],HEX0[2],8.505,8.78,8.975,9.198,,SW[3],HEX0[2],9.057,9.356,9.427,9.676,,SW[3],HEX0[2],0.552,0.576,0.452,0.478
SW[3],HEX0[3],8.012,8.108,8.626,8.639,,SW[3],HEX0[3],8.508,8.615,9.016,9.047,,SW[3],HEX0[3],0.496,0.507,0.39,0.408
SW[3],HEX0[4],,9.068,9.169,,,SW[3],HEX0[4],,9.63,9.608,,,SW[3],HEX0[4],0,0.562,0.439,0
SW[3],HEX0[5],8.673,9.052,9.287,9.583,,SW[3],HEX0[5],9.213,9.613,9.72,10.044,,SW[3],HEX0[5],0.54,0.561,0.433,0.461
SW[3],HEX0[6],8.013,8.092,8.483,8.51,,SW[3],HEX0[6],8.508,8.6,8.877,8.919,,SW[3],HEX0[6],0.495,0.508,0.394,0.409
